,product name,image url 1,image url 2,price,category
263,AR19109,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19109b-1.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/a/r/ar19109b-2.jpg,"PKR2,500",Front & Back Lawn Printed 2.5mSleeve Lawn Printed 1mLawn Printed Dupatta 2.5mShalwar 2.5m
264,PSD19116,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19116_black_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19116_black_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
265,PSD19113,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19113_orange_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19113_orange_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
266,PSD19112,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19112_green_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19112_green_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
267,PSD19109,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19109_blue_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19109_blue_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
268,PSD19106,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19106_red_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19106_red_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
269,PSD19105,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19105_orange_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19105_orange_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
270,PSD19105,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19105_orange_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19105_orange_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
271,PSD19104,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19104_blue_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19104_blue_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
272,PSD19102,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19102_off-white_1_.jpg,https://www.khaadi.com/media/catalog/product/cache/8311afee373c39545ab7d755459cdad7/p/s/psd19102_off-white_2_.jpg,"PKR3,900",Poly Satin Digital Printed Front 1.25mPoly Satin Digital Printed Back 1.25mPoly Satin Digital Printed Sleeves 0.5mViscose Tissue Dupatta 2.5mEmbroidered Organza
